ID;Ambito;Departamento/Continente;Provincia/Pais;Distrito/Estado;Localidad/Embajada;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
105;NACIONAL;CUSCO;QUISPICANCHI;OCONGATE;SAGRADO CORAZON DE JESUS;16838;203;1;204;0;6;0;210;283
106;NACIONAL;CUSCO;QUISPICANCHI;OCONGATE;SAGRADO CORAZON DE JESUS;16839;189;0;189;0;14;0;203;282
107;NACIONAL;CUSCO;QUISPICANCHI;QUIQUIJANA;CANCHA SINTETICA DE LA MUNICIPALIDAD DE QUIQUIJANA;16881;198;1;199;0;2;0;201;300
108;NACIONAL;CUSCO;QUISPICANCHI;QUIQUIJANA;JOSE CARLOS MARIATEGUI;16887;247;0;247;1;0;0;248;300
109;NACIONAL;CUSCO;URUBAMBA;CHINCHERO;IE PARTICULAR ALTERNATIVO YACHAY;16953;224;0;224;0;23;0;247;298
110;NACIONAL;HUANCAVELICA;ANGARAES;ANCHONGA;IE 36217;17503;201;1;202;1;20;0;223;300
111;NACIONAL;HUANCAVELICA;ANGARAES;ANCHONGA;IE 36217;17504;200;0;200;0;5;0;205;300
112;NACIONAL;HUANCAVELICA;CHURCAMPA;COSME;IE 30979 THOMAS ALVA EDISON;17992;0;0;0;0;83;0;83;275
113;NACIONAL;HUANCAVELICA;HUANCAVELICA;ACORIA;I.E.S. JOSE GALVEZ EGUSQUIZA;17211;153;0;153;0;4;0;157;299
114;NACIONAL;HUANCAVELICA;HUANCAVELICA;YAULI;IE 36036;17275;206;1;207;0;11;0;218;300
115;NACIONAL;HUANCAVELICA;HUANCAVELICA;YAULI;IE 36293 SAN JUAN DE CCARHUACC;901316;204;0;204;0;0;0;204;255
116;NACIONAL;HUANCAVELICA;HUANCAVELICA;YAULI;IE 36293 SAN JUAN DE CCARHUACC;901317;203;0;203;1;1;0;205;256
117;NACIONAL;HUANCAVELICA;HUANCAVELICA;YAULI;IE 36293 SAN JUAN DE CCARHUACC;901319;211;0;211;0;0;0;211;256
118;NACIONAL;HUANCAVELICA;HUANCAVELICA;YAULI;IE SAN MARTIN DE PORRES;17302;238;1;239;0;0;0;239;300
119;NACIONAL;HUANUCO;HUAMALIES;ARANCAY;IE 32731;901542;42;0;42;0;2;0;44;87
120;NACIONAL;HUANUCO;HUANUCO;CHINCHAO;IE NUESTRA SEÑORA DE LOURDES;18236;0;0;0;0;199;0;199;300
121;NACIONAL;HUANUCO;HUANUCO;CHURUBAMBA;IE MICAELA BASTIDAS;18286;0;0;0;0;293;0;293;293
122;NACIONAL;HUANUCO;HUANUCO;MARGOS;I.E JESÚS DE NAZARENO;18317;154;0;154;1;36;0;191;300
123;NACIONAL;HUANUCO;HUANUCO;SANTA MARIA DEL VALLE;12;18386;0;0;0;0;117;0;117;248
124;NACIONAL;HUANUCO;PACHITEA;UMARI;IE LA PUNTA;901611;0;0;0;0;202;0;202;261
125;NACIONAL;HUANUCO;YAROWILCA;CHAVINILLO;IE ESTEBAN PAVLETICH TRUJILLO;19772;195;1;196;0;13;0;209;300
126;NACIONAL;HUANUCO;YAROWILCA;CHORAS;IE INTEGRADA GARU;19844;197;0;197;0;0;0;197;300
127;NACIONAL;ICA;CHINCHA;CHINCHA ALTA;IEI 225 EMILIA BARCIA BONIFFATTI;20948;0;0;0;0;274;0;274;300
128;NACIONAL;ICA;CHINCHA;PUEBLO NUEVO;IE 255 NIÑO DE JESUS DE PRAGA;21341;0;0;0;0;262;0;262;300
129;NACIONAL;ICA;CHINCHA;SUNAMPE;IE 22290 - GUAYABO;21242;0;0;0;0;270;0;270;300
130;NACIONAL;ICA;ICA;ICA;IE 22733 REPUBLICA DE CANADA;20033;0;0;0;0;50;0;50;300
131;NACIONAL;ICA;ICA;TATE;IE 22360 FRANCISCO PEREZ ANAMPA;20827;0;0;0;0;67;0;67;300
132;NACIONAL;JUNIN;HUANCAYO;HUANCAYO;IE 30059 ROSA DE AMERICA;22222;0;0;0;0;221;0;221;300
133;NACIONAL;JUNIN;HUANCAYO;SANTO DOMINGO DE ACOBAMBA;IE YUNCA CHAQUICOCHA;23480;74;1;75;0;7;0;82;125
134;NACIONAL;JUNIN;SATIPO;RIO TAMBO;IE LA INMACULADA;24773;0;0;0;0;124;0;124;300
135;NACIONAL;JUNIN;SATIPO;SATIPO;IE JOSE OLAYA;24482;0;0;0;0;240;0;240;300
136;NACIONAL;JUNIN;SATIPO;SATIPO;IE RAFAEL GASTELUA SECUNDARIA;24506;0;0;0;0;226;0;226;300
137;NACIONAL;LA LIBERTAD;BOLIVAR;BAMBAMARCA;IE 80099 TUPAC AMARU;28014;0;0;0;0;169;0;169;300
138;NACIONAL;LA LIBERTAD;OTUZCO;OTUZCO;IE SIMON BOLIVAR;28428;0;0;0;0;300;0;300;300
139;NACIONAL;LA LIBERTAD;PATAZ;PARCOY;IE 80454 ANDRES AVELINO CACERES;28956;0;0;0;0;300;0;300;300
140;NACIONAL;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;IE 80779 LA INMACULADA;28059;0;0;0;0;231;0;231;300
141;NACIONAL;LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;IE 81578;29095;0;0;0;0;91;0;91;291
