ID;Ambito;Departamento/Continente;Provincia/Pais;Distrito/Estado;Localidad/Embajada;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
87;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE 10446 SALOMON DIAZ;12232;161;2;163;2;1;0;166;300
88;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE 10460 LA PUCARA;900900;190;1;191;0;7;0;198;278
89;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE 10460 LA PUCARA;900902;192;2;194;0;6;0;200;278
90;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE 10460 LA PUCARA;900903;170;0;170;1;0;0;171;277
91;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE 10460 LA PUCARA;900904;200;0;200;0;2;0;202;277
92;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE VICTOR ANTONIO HERRERA DELGADO;12243;243;0;243;0;3;0;246;300
93;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE VICTOR ANTONIO HERRERA DELGADO;12245;208;0;208;0;0;0;208;300
94;NACIONAL;CAJAMARCA;CUTERVO;SAN ANDRES DE CUTERVO;CEBA - JOSE CARLOS MARIATEGUI;11814;187;2;189;0;38;0;227;300
95;NACIONAL;CAJAMARCA;HUALGAYOC;BAMBAMARCA;IE 82661 NUESTRA SEÑORA DE LOURDES PRIMARIA;12293;183;2;185;2;5;0;192;300
96;NACIONAL;CAJAMARCA;HUALGAYOC;BAMBAMARCA;IE 82664 BAMBAMARCA;12370;202;2;204;0;26;0;230;300
97;NACIONAL;CAJAMARCA;HUALGAYOC;BAMBAMARCA;IE NUESTRA SEÑORA DE LOURDES;12363;185;2;187;1;14;0;202;300
98;NACIONAL;CAJAMARCA;HUALGAYOC;BAMBAMARCA;IE NUESTRA SEÑORA DE LOURDES;12368;168;2;170;0;41;0;211;300
99;NACIONAL;CAJAMARCA;HUALGAYOC;BAMBAMARCA;IE VICTOR RAUL HAYA DE LA TORRE;12424;251;0;251;0;0;0;251;300
100;NACIONAL;CAJAMARCA;HUALGAYOC;BAMBAMARCA;IESP BAMBAMARCA;12448;186;2;188;1;22;0;211;300
101;NACIONAL;CAJAMARCA;HUALGAYOC;HUALGAYOC;IE ANDRÉS AVELINO CÁCERES;12499;81;0;81;0;1;0;82;89
102;NACIONAL;CAJAMARCA;JAEN;JAEN;IE. JAEN BRACAMOROS;12671;0;0;0;0;205;0;205;300
103;NACIONAL;CAJAMARCA;JAEN;JAEN;SAN AGUSTIN;12779;0;0;0;0;228;0;228;300
104;NACIONAL;CAJAMARCA;JAEN;SALLIQUE;IESM SAN JUAN;12910;128;2;130;0;2;0;132;279
105;NACIONAL;CAJAMARCA;SAN IGNACIO;HUARANGO;ESTADIO MUNICIPAL;13376;187;0;187;0;0;0;187;300
106;NACIONAL;CAJAMARCA;SAN IGNACIO;TABACONAS;16535;13551;59;2;61;0;0;0;61;77
107;NACIONAL;CAJAMARCA;SAN MARCOS;JOSE SABOGAL;821353;13650;24;2;26;0;0;0;26;179
108;NACIONAL;CAJAMARCA;SAN MARCOS;JOSE SABOGAL;IE 82248;13642;0;0;0;0;148;0;148;300
109;NACIONAL;CALLAO;CALLAO;BELLAVISTA;COMPLEJO DEPORTIVO SEÑOR DE LOS MILAGROS;77402;0;0;0;0;234;0;234;300
110;NACIONAL;CALLAO;CALLAO;CALLAO;IE 5095 JULIO RAMON RIBEYRO;76758;0;0;0;0;264;0;264;300
111;NACIONAL;CALLAO;CALLAO;CALLAO;LOSA DEPORTIVA LOS OLIMPICOS;76322;0;0;0;0;244;0;244;300
112;NACIONAL;CALLAO;CALLAO;CALLAO;LOSA DEPORTIVA LOS OLIMPICOS;76449;0;0;0;0;294;0;294;300
113;NACIONAL;CALLAO;CALLAO;LA PERLA;ESTADIO CAMPOLO ALCALDE;77625;0;0;0;0;233;0;233;300
114;NACIONAL;CALLAO;CALLAO;MI PERU;5119 VILLA EMILIA;78579;0;0;0;0;244;0;244;300
115;NACIONAL;CALLAO;CALLAO;MI PERU;IE 33 FE Y ALEGRIA;78613;0;0;0;0;256;0;256;300
116;NACIONAL;CUSCO;ACOMAYO;MOSOC LLACTA;IE INTEGRADO DANIEL ESTRADA PEREZ;14981;173;2;175;0;2;0;177;226
117;NACIONAL;CUSCO;ACOMAYO;POMACANCHI;IE 50056 TUPAC AMARU;14948;192;2;194;0;0;0;194;287
118;NACIONAL;CUSCO;CALCA;LARES;IE CESAR VALLEJO;15246;189;2;191;2;4;0;197;288
119;NACIONAL;CUSCO;CALCA;PISAC;IE 50178 MIXTO BERNARDO TAMBOHUACSO;15260;222;2;224;0;27;0;251;300
120;NACIONAL;CUSCO;CANAS;CHECCA;IE 56127;15356;175;0;175;0;6;0;181;260
121;NACIONAL;CUSCO;CANAS;CHECCA;IE ALTIVA CANAS DE CHITIBAMBA - NIVEL SECUNDARIO;901119;169;1;170;2;3;0;175;213
122;NACIONAL;CUSCO;CANAS;CHECCA;IE SAN ANDRES;15358;220;1;221;0;7;0;228;300
123;NACIONAL;CUSCO;CANAS;CHECCA;IE SAN ANDRES;15367;221;2;223;1;0;0;224;300
124;NACIONAL;CUSCO;CANAS;LAYO;TECNICO AGROPECUARIO;15406;136;1;137;0;6;0;143;216
125;NACIONAL;CUSCO;CANAS;LAYO;TECNICO AGROPECUARIO;15407;149;2;151;1;5;0;157;216
126;NACIONAL;CUSCO;CANAS;QUEHUE;IE 56122 HIPOLITO TUPAC AMARU;901121;179;2;181;1;1;0;183;212
127;NACIONAL;CUSCO;CANAS;TUPAC AMARU;IE 56114 FERNANDO TUPAC AMARU;15424;206;2;208;1;6;0;215;277
128;NACIONAL;CUSCO;CANAS;YANAOCA;IE INTEGRADO RICARDO PALMA;901117;131;2;133;1;4;0;138;152
