ID;Ambito;Departamento/Continente;Provincia/Pais;Distrito/Estado;Localidad/Embajada;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
86;NACIONAL;LIMA;HUAURA;HUALMAY;IEP LICEO ESPAÑOL SAN JUAN BAUTISTA;59243;0;0;0;0;300;0;300;300
87;NACIONAL;LIMA;HUAURA;SAYAN;IE 20849 JOSE FAUSTINO SANCHEZ CARRION;902261;0;0;0;0;242;0;242;282
88;NACIONAL;LIMA;LIMA;ATE;206 HUELLITAS DE AMOR;34521;0;0;0;0;256;0;256;300
89;NACIONAL;LIMA;LIMA;ATE;IE 1270 JUAN EL BAUTISTA;35919;0;0;0;0;231;0;231;300
90;NACIONAL;LIMA;LIMA;ATE;LOSA DEPORTIVA NIÑO JESUS II ETAPA;35765;0;0;0;0;193;0;193;300
91;NACIONAL;LIMA;LIMA;BARRANCO;02 LAURA ALVA SALDAÑA;44552;0;0;0;0;224;0;224;269
92;NACIONAL;LIMA;LIMA;BARRANCO;IE 7049 CAP FAP JOSE ABELARDO QUIÑONES GONZALES;44649;0;0;0;0;216;0;216;300
93;NACIONAL;LIMA;LIMA;BREÑA;POLITECNICO SALESIANO - SALESTEC;36224;0;0;0;0;300;0;300;300
94;NACIONAL;LIMA;LIMA;CARABAYLLO;SANTA ROSA DE VILLA;36548;0;0;0;0;205;0;205;300
95;NACIONAL;LIMA;LIMA;CHORRILLOS;IE 7066 ANDRES AVELINO CACERES;39101;0;0;0;0;300;0;300;300
96;NACIONAL;LIMA;LIMA;CHORRILLOS;IE 7076 BRISAS DE VILLA;39152;0;0;0;0;236;0;236;300
97;NACIONAL;LIMA;LIMA;COMAS;888 SEÑOR DE LOS MILAGROS;37138;0;0;0;0;263;0;263;300
98;NACIONAL;LIMA;LIMA;COMAS;ESTADIO TEOFILO CUBILLAS;38125;0;0;0;0;250;0;250;300
99;NACIONAL;LIMA;LIMA;COMAS;IE 2022 SINCHI ROCA;37468;0;0;0;0;261;0;261;300
100;NACIONAL;LIMA;LIMA;COMAS;IE PERUANO SUIZO;37954;0;0;0;0;283;0;283;300
101;NACIONAL;LIMA;LIMA;EL AGUSTINO;IE GRAN MARISCAL ANDRES AVELINO CACERES DORREGARAY;51020;0;0;0;0;250;0;250;300
102;NACIONAL;LIMA;LIMA;EL AGUSTINO;IE PARROQUIAL APOSTOL SAN PEDRO;51128;0;0;0;0;168;0;168;300
103;NACIONAL;LIMA;LIMA;INDEPENDENCIA;POLIDEPORTIVO LAS AMERICAS;50526;0;0;0;0;241;0;241;300
104;NACIONAL;LIMA;LIMA;JESUS MARIA;CEBE 08 PERU HOLANDA;49721;0;0;0;0;285;0;285;300
105;NACIONAL;LIMA;LIMA;JESUS MARIA;CIRCULO MILITAR;49668;0;0;0;0;240;0;240;300
106;NACIONAL;LIMA;LIMA;JESUS MARIA;IE 091 SEÑOR DE LOS MILAGROS;49991;0;0;0;0;283;0;283;300
107;NACIONAL;LIMA;LIMA;LA VICTORIA;COLEGIO SACO OLIVEROS;39512;0;0;0;0;233;0;233;300
108;NACIONAL;LIMA;LIMA;LA VICTORIA;COMPLEJO DEPORTIVO OSCAR R. BENAVIDES;39521;0;0;0;0;227;0;227;300
109;NACIONAL;LIMA;LIMA;LA VICTORIA;IE 1123 SAGRADO CORAZON DE JESUS;39746;0;0;0;0;234;0;234;300
110;NACIONAL;LIMA;LIMA;LIMA;106 RAMON ESPINOSA;33289;0;0;0;0;229;0;229;300
111;NACIONAL;LIMA;LIMA;LIMA;IE 1157 JULIO C. TELLO R.;34161;0;0;0;0;254;0;254;300
112;NACIONAL;LIMA;LIMA;LIMA;IE 1162 DIVINO NIÑO JESUS;33767;0;0;0;0;221;0;221;300
113;NACIONAL;LIMA;LIMA;LIMA;IE 1168 HEROES DEL CENEPA;33779;0;0;0;0;216;0;216;300
114;NACIONAL;LIMA;LIMA;LIMA;IE NUESTRA SEÑORA DE GUADALUPE;34235;0;0;0;0;213;0;213;300
115;NACIONAL;LIMA;LIMA;LIMA;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL - ESCUELA DE POST GRADO;33587;0;0;0;0;217;0;217;300
116;NACIONAL;LIMA;LIMA;LIMA;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL - FACULTAD DE DERECHO Y CIENCIAS POLÍTI;33865;0;0;0;0;238;0;238;300
117;NACIONAL;LIMA;LIMA;LOS OLIVOS;IE 2015 MANUEL GONZALES PRADA;57344;0;0;0;0;0;0;0;300
118;NACIONAL;LIMA;LIMA;LOS OLIVOS;IE 2092 CRISTO MORADO;57464;0;0;0;0;300;0;300;300
119;NACIONAL;LIMA;LIMA;MAGDALENA DEL MAR;HOSPITAL LARCO HERRERA;41718;0;0;0;0;204;0;204;300
120;NACIONAL;LIMA;LIMA;PACHACAMAC;IEP SAN PEDRO;42456;0;0;0;0;270;0;270;270
121;NACIONAL;LIMA;LIMA;PUENTE PIEDRA;8180 CELSO LINO RICALDI;42944;0;0;0;0;241;0;241;300
122;NACIONAL;LIMA;LIMA;PUENTE PIEDRA;ESTADIO SANTA ROSA DE PUENTE PIEDRA;43510;0;0;0;0;161;0;161;300
123;NACIONAL;LIMA;LIMA;PUENTE PIEDRA;IE 2081 PERU SUIZA;43286;0;0;0;0;300;0;300;300
124;NACIONAL;LIMA;LIMA;PUENTE PIEDRA;IE 5168 ROSA LUZ;43380;0;0;0;0;255;0;255;300
125;NACIONAL;LIMA;LIMA;PUENTE PIEDRA;IEP LOS CERVANTINOS;43463;0;0;0;0;300;0;300;300
126;NACIONAL;LIMA;LIMA;RIMAC;CEBA - 3016 RICARDO QUIMPER EX-3035;44191;0;0;0;0;235;0;235;300
127;NACIONAL;LIMA;LIMA;RIMAC;ESTHER CACERES SALGADO;43753;0;0;0;0;63;0;63;300
128;NACIONAL;LIMA;LIMA;SAN BORJA;PARQUE ARAMBURU;55492;0;0;0;0;199;0;199;275
