ID;Departamento;Provincia;Distrito;Localidad;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
132;CUSCO;CHUMBIVILCAS;CHAMACA;IE 56364 CANGALLE;901136;108;2;110;0;1;0;111;123
133;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;015791;229;1;230;0;5;0;235;300
134;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;015794;221;1;222;0;3;0;225;300
135;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;015795;219;2;221;2;6;0;229;300
136;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;015799;216;0;216;0;2;0;218;300
137;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE 56257 COLQUEMARCA;015779;209;0;209;0;18;0;227;300
138;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE 56257 COLQUEMARCA;015783;219;1;220;0;9;0;229;300
139;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE INTEGRADO 56326;901135;140;2;142;4;9;0;155;189
140;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE INTEGRADO N°56324;901132;209;0;209;5;8;0;222;289
141;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE LA MERCED;015767;197;2;199;0;3;0;202;286
142;CUSCO;CHUMBIVILCAS;LIVITACA;IE 56377 CHILLOROYA;901144;160;1;161;0;6;0;167;215
143;CUSCO;CHUMBIVILCAS;LIVITACA;IE INTEGRADO 56266 LIVITACA;015817;206;1;207;0;8;0;215;300
144;CUSCO;CHUMBIVILCAS;LIVITACA;IE RAMON PONCE MOLINA;901142;169;2;171;2;5;0;178;209
145;CUSCO;CHUMBIVILCAS;LIVITACA;IE SAN BARTOLOME;901146;183;1;184;2;5;0;191;236
146;CUSCO;CHUMBIVILCAS;LIVITACA;IE SAN SEBASTIAN - PRIMARIA;015802;155;2;157;3;8;0;168;258
147;CUSCO;CHUMBIVILCAS;LIVITACA;IE SAN SEBASTIAN - SECUNDARIA;015804;215;2;217;0;9;0;226;300
148;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;015829;203;1;204;2;2;0;208;300
149;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;015831;226;1;227;2;9;0;238;300
150;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;015832;210;0;210;0;7;0;217;300
151;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;015837;200;1;201;2;9;0;212;300
