ID;Departamento;Provincia;Distrito;Localidad;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
84;JUNIN;SATIPO;SATIPO;IE RAFAEL GASTELUA SECUNDARIA;024506;0;0;0;0;226;0;226;300
85;LA LIBERTAD;BOLIVAR;BAMBAMARCA;IE 80099 TUPAC AMARU;028014;0;0;0;0;169;0;169;300
86;LA LIBERTAD;OTUZCO;OTUZCO;IE SIMON BOLIVAR;028428;0;0;0;0;300;0;300;300
87;LA LIBERTAD;PATAZ;PARCOY;IE 80454 ANDRES AVELINO CACERES;028956;0;0;0;0;300;0;300;300
88;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;IE 80779 LA INMACULADA;028059;0;0;0;0;231;0;231;300
89;LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;IE 81578;029095;0;0;0;0;91;0;91;291
90;LA LIBERTAD;SANTIAGO DE CHUCO;SANTIAGO DE CHUCO;IE 80521 MANUEL ENCARNACION SAAVEDRA GELDRES;029035;0;0;0;0;227;0;227;300
91;LA LIBERTAD;TRUJILLO;LA ESPERANZA;ESTADIO MUNICIPAL VICTOR RAUL HAYA DE LA TORRE;027768;0;0;0;0;254;0;254;300
92;LA LIBERTAD;TRUJILLO;LA ESPERANZA;IE 80829 JOSE OLAYA;027649;0;0;0;0;168;0;168;300
93;LA LIBERTAD;TRUJILLO;TRUJILLO;IE RAFAEL NARVAEZ CADENILLAS;026140;0;0;0;0;240;0;240;300
94;LAMBAYEQUE;CHICLAYO;CHICLAYO;048 SEMILLLITAS DE JESUS;030678;0;0;0;0;251;0;251;300
95;LORETO;ALTO AMAZONAS;BALSAPUERTO;IEPBR PANAN;902391;163;0;163;1;2;0;166;284
96;LORETO;ALTO AMAZONAS;TENIENTE CESAR LOPEZ ROJAS;I.E.P. - E.B.R. SHUCUSHYACU;062431;0;0;0;0;169;0;169;283
97;LORETO;ALTO AMAZONAS;YURIMAGUAS;IE 62011 ASCENCIO RIVERA CASTILLO - PRIMARIA;902351;0;0;0;0;198;0;198;293
98;LORETO;LORETO;NAUTA;IE 60520 MIGUEL GRAU SEMINARIO;062456;0;0;0;0;208;0;208;300
99;LORETO;LORETO;NAUTA;IEPS 60540 WOSTER SALINAS SAAVEDRA;902395;0;0;0;0;115;0;115;258
100;LORETO;MAYNAS;NAPO;IST 60087 LUCILLE GAGNE PELLERIN;061478;0;0;0;0;120;0;120;300
101;LORETO;MAYNAS;PUNCHANA;CETPRO PADRE JESUS GARCIA;061701;0;0;0;0;204;0;204;300
102;LORETO;MAYNAS;TORRES CAUSANA;IEP 60326 CABO PANTOJA;061496;0;0;0;0;138;0;138;287
103;LORETO;MAYNAS;TORRES CAUSANA;IEP 60326 CABO PANTOJA;061497;0;0;0;0;97;0;97;287
104;LORETO;PUTUMAYO;TENIENTE MANUEL CLAVERO;IEPS N 6010104 TENIENTE EJERCITO RUIZ GARCIA RUIZ;063111;0;0;0;0;97;0;97;273
105;LORETO;UCAYALI;CONTAMANA;"I.E.I CUNA JARDIN N° 212 ""NIÑO JESUS""";062726;0;0;0;0;217;0;217;300
106;MADRE DE DIOS;MANU;MADRE DE DIOS;IE BASICA REGULAR BOCA COLORADO;902559;0;0;0;0;193;0;193;293
107;MOQUEGUA;MARISCAL NIETO;SAN CRISTOBAL;IE MIGUEL CONSTANTINIDES ROSADO;902569;206;0;206;0;4;0;210;271
108;PIURA;HUANCABAMBA;SAN MIGUEL DE EL FAIQUE;IE SAN MIGUEL ARCANGEL;067153;0;0;0;0;300;0;300;300
109;PIURA;MORROPON;SALITRAL;IE. JORGE BASADRE;067483;0;0;0;0;300;0;300;300
110;PIURA;PAITA;PAITA;IE 14739 ELISEO ALCIDES BERNAL LA SERNA;067732;0;0;0;0;249;0;249;300
111;PIURA;PIURA;CASTILLA;IE PARROQUIAL NIÑO JESUS DE PRAGA;065516;0;0;0;0;169;0;169;300
112;PIURA;PIURA;CASTILLA;IEP IDEPUNP;065423;0;0;0;0;253;0;253;300
113;PIURA;PIURA;CATACAOS;IEP SANTA MARIA;065647;0;0;0;0;40;0;40;300
114;PIURA;PIURA;CURA MORI;CRFA LAS CAPULLANAS;066215;0;0;0;0;244;0;244;300
115;PIURA;PIURA;CURA MORI;IE 14053;066229;0;0;0;0;232;0;232;300
116;PIURA;PIURA;LA ARENA;IE 14123;065758;0;0;0;0;231;0;231;300
117;PIURA;PIURA;LA UNION;IEP SANTA BERNARDITA;065842;0;0;0;0;63;0;63;285
118;PIURA;PIURA;LA UNION;MINI COLISEO DEPORTIVO MUNICIPAL LA UNION;065836;0;0;0;0;238;0;238;300
119;PIURA;PIURA;PIURA;20124;064956;0;0;0;0;235;0;235;300
120;PIURA;TALARA;MANCORA;IE 14917 MICAELA BASTIDAS - SECUNDARIA;069053;0;0;0;0;246;0;246;300
121;PUNO;AZANGARO;ASILLO;IEP 72005 SAN MARTIN DE PORRES;070028;205;0;205;0;8;0;213;300
122;PUNO;AZANGARO;ASILLO;IEP 72005 SAN MARTIN DE PORRES;070030;222;0;222;0;5;0;227;300
123;PUNO;AZANGARO;AZANGARO;IEP 72017;069878;243;0;243;0;11;0;254;300
124;PUNO;AZANGARO;AZANGARO;INSTITUTO SUPERIOR PEDAGOGICO PUBLICO AZANGARO;069957;219;0;219;0;8;0;227;300
125;PUNO;AZANGARO;CHUPA;IEP 72125;070048;240;0;240;0;6;0;246;300
126;PUNO;AZANGARO;CHUPA;IES Nº 125 CHUPA;070058;227;0;227;0;6;0;233;300
